stock,trading_date,avg_sentiment,news_count
GOOG,2019-12-09,0.0004000000000000045,4
GOOG,2019-12-10,-0.035100000000000006,4
GOOG,2019-12-12,-0.5719,1
GOOG,2019-12-16,0.07955,4
GOOG,2019-12-17,0.1177,5
GOOG,2019-12-18,0.1806,2
GOOG,2019-12-19,0.0,2
GOOG,2019-12-20,0.1779,1
GOOG,2019-12-23,0.3256333333333334,3
GOOG,2019-12-24,0.0,1
GOOG,2019-12-26,0.12955999999999998,5
GOOG,2019-12-30,-0.1702,4
GOOG,2020-01-02,-0.1527,4
GOOG,2020-01-06,0.131675,4
GOOG,2020-01-07,0.0,1
GOOG,2020-01-08,0.08895,2
GOOG,2020-01-09,0.0,2
GOOG,2020-01-13,-0.06828333333333333,6
GOOG,2020-01-14,0.2553,2
GOOG,2020-01-15,0.18162,5
GOOG,2020-01-16,0.12513333333333335,6
GOOG,2020-01-21,0.043083333333333335,6
GOOG,2020-01-23,0.128,1
GOOG,2020-01-27,0.035250000000000004,12
GOOG,2020-01-28,0.0,2
GOOG,2020-01-29,0.1909,2
GOOG,2020-01-30,0.10115,2
GOOG,2020-02-03,0.07681219512195121,41
GOOG,2020-02-04,0.5106,1
GOOG,2020-02-05,0.14381666666666668,6
GOOG,2020-02-06,-0.1366,2
GOOG,2020-02-10,0.02974444444444445,9
GOOG,2020-02-11,0.37293333333333334,3
GOOG,2020-02-12,0.13975,2
GOOG,2020-02-13,0.1413333333333333,3
GOOG,2020-02-18,-0.045099999999999994,7
GOOG,2020-02-19,0.14562,5
GOOG,2020-02-20,0.18142857142857144,7
GOOG,2020-02-24,0.16660833333333333,12
GOOG,2020-02-25,0.0,1
GOOG,2020-02-26,0.11723333333333334,3
GOOG,2020-02-27,0.028766666666666645,3
GOOG,2020-03-02,-0.04526,5
GOOG,2020-03-03,0.0,2
GOOG,2020-03-04,0.021083333333333332,6
GOOG,2020-03-05,0.06870000000000001,5
GOOG,2020-03-09,-0.11165,8
GOOG,2020-03-10,0.003199999999999992,10
GOOG,2020-03-11,-0.06745000000000001,2
GOOG,2020-03-12,0.14865,6
GOOG,2020-03-16,0.05756153846153845,13
GOOG,2020-03-17,-0.0399,3
GOOG,2020-03-18,0.5106,1
