stock,trading_date,avg_sentiment,news_count,daily_return,sentiment_category
GOOG,2019-05-13,0.296,1,-0.027691172670069375,positive
GOOG,2019-05-14,0.2025857142857142,7,-0.01023818110938568,positive
GOOG,2019-05-15,0.2202,2,0.03906495097770368,positive
GOOG,2019-05-16,-0.1339666666666666,3,0.012686811097889938,negative
GOOG,2019-05-20,0.06626,5,-0.020175464162766166,positive
GOOG,2019-05-21,0.08558,5,0.009465603565273373,positive
GOOG,2019-05-22,-0.149,3,0.0015570613228788055,negative
GOOG,2019-05-23,-0.2732,1,-0.009249388030781347,negative
GOOG,2019-05-28,-0.1661,4,0.0005999061646999593,negative
GOOG,2019-05-29,-0.3818,1,-0.015597555567942623,negative
GOOG,2019-05-30,-0.26335,2,0.0013345761030034708,negative
GOOG,2019-06-03,0.2879142857142857,14,-0.061071201093659266,positive
GOOG,2019-06-04,0.0,2,0.016231867727817262,neutral
GOOG,2019-06-05,0.119175,4,-0.010284326973101221,positive
GOOG,2019-06-06,0.0854799999999999,5,0.00203401613194365,positive
GOOG,2019-06-10,0.1017,12,0.013451670758324541,positive
GOOG,2019-06-11,0.0,1,-0.0015365625962084906,neutral
GOOG,2019-06-12,-0.086375,4,-0.0015666280872631555,negative
GOOG,2019-06-13,0.0,1,0.01090029961702177,neutral
GOOG,2019-06-17,0.0826888888888888,9,0.006587628990748495,positive
GOOG,2019-06-18,0.1591,2,0.010160178857285151,positive
GOOG,2019-06-19,0.3183666666666666,3,-0.0011507093790610323,positive
GOOG,2019-06-20,0.1669666666666666,3,0.008246193204331176,positive
GOOG,2019-06-24,-0.1342142857142857,7,-0.005669109842392661,negative
GOOG,2019-06-25,0.0731666666666666,6,-0.026149214231736995,positive
GOOG,2019-06-26,0.0,2,-0.006029389428596432,neutral
GOOG,2019-07-01,0.212,2,0.015764447201808585,positive
GOOG,2019-07-08,0.2703,4,-0.013467705136171793,positive
GOOG,2019-07-10,0.2563,5,0.013913112363344915,positive
GOOG,2019-07-11,-0.0080499999999999,2,0.003270649752604937,neutral
GOOG,2019-07-15,0.226175,4,0.004751403256439302,positive
GOOG,2019-07-16,0.18144,5,0.0028166463398020536,positive
GOOG,2019-07-17,-0.20095,2,-0.006267448051717972,negative
GOOG,2019-07-18,0.2860666666666667,3,-1.7489411702431568e-05,positive
GOOG,2019-07-22,0.1293142857142857,7,0.007052380029569427,positive
GOOG,2019-07-23,-0.2113,2,0.007152497609939523,negative
GOOG,2019-07-24,0.1258933333333333,15,-0.0073284896711400815,positive
GOOG,2019-07-25,0.0809066666666666,15,-0.005000830399928713,positive
GOOG,2019-07-26,0.0593,3,0.10448541182503779,positive
GOOG,2019-07-29,0.1274833333333333,12,-0.008797098902935119,positive
GOOG,2019-07-30,0.121275,4,-0.011513636286727413,positive
GOOG,2019-07-31,-0.20095,2,-0.006905318455169396,negative
GOOG,2019-08-01,0.296,2,-0.00630404502137083,positive
GOOG,2019-08-05,-0.083175,4,-0.034899866169121,negative
GOOG,2019-08-06,-0.0833333333333333,3,0.01529974737738038,negative
GOOG,2019-08-07,0.1906333333333333,3,0.003452995506923351,positive
GOOG,2019-08-08,-0.0201,3,0.02624383020891985,neutral
GOOG,2019-08-12,0.15136,5,-0.011195197098085141,positive
GOOG,2019-08-13,0.0,1,0.019204696887868522,neutral
GOOG,2019-08-14,0.3825,2,-0.027545911295744574,positive
GOOG,2019-08-15,0.26335,2,0.002550857990978539,positive
GOOG,2019-08-19,0.0172599999999999,5,0.01770552500207101,neutral
GOOG,2019-08-20,0.631,1,-0.01315035331727743,positive
GOOG,2019-08-21,-0.0774,4,0.0072378645594368685,negative
GOOG,2019-08-22,-0.064,2,-0.0014438513604967396,negative
GOOG,2019-08-26,0.3110166666666666,6,0.015287212969847586,positive
GOOG,2019-08-27,-0.372425,4,-0.0008983525580998908,negative
GOOG,2019-08-29,0.03895,4,0.018641906301635647,neutral
GOOG,2019-09-03,-0.08635,8,-0.016589512259145733,negative
GOOG,2019-09-04,0.0,4,0.011143550529436386,neutral
GOOG,2019-09-05,-0.1689375,8,0.025368002258037148,negative
GOOG,2019-09-09,0.0426714285714285,7,-0.00043159739167275557,neutral
GOOG,2019-09-11,0.0177333333333333,6,0.011749479055366274,neutral
GOOG,2019-09-12,0.0,1,0.011539500299352135,neutral
GOOG,2019-09-16,0.0,2,-0.0066636168959117725,neutral
GOOG,2019-09-18,-0.05135,2,0.0026522360958216584,negative
GOOG,2019-09-19,0.3182,1,0.005111990074081474,positive
GOOG,2019-09-23,0.119075,8,0.0033335692074261125,positive
GOOG,2019-09-24,0.064,2,-0.012374054933468437,positive
GOOG,2019-09-25,0.1779,1,0.02277732271537869,positive
GOOG,2019-09-30,0.0,4,-0.004971106123625724,neutral
GOOG,2019-10-01,-0.1464333333333333,6,-0.011402739704964637,negative
GOOG,2019-10-02,0.0,1,-0.023624613003589312,neutral
GOOG,2019-10-03,0.0,2,0.009518587362536302,neutral
GOOG,2019-10-07,0.0903,4,-0.0010918171595103443,positive
GOOG,2019-10-08,0.0,2,-0.015359965499947004,neutral
GOOG,2019-10-09,-0.765,1,0.011083750047641505,negative
GOOG,2019-10-10,0.05135,2,0.005289676100698637,positive
GOOG,2019-10-14,0.1028,9,0.0013904561531681292,positive
GOOG,2019-10-15,-0.22925,2,0.02125483421570107,negative
GOOG,2019-10-16,0.0,1,0.000506746965049043,neutral
GOOG,2019-10-17,0.5267,1,0.007582653967184161,positive
GOOG,2019-10-21,0.0147571428571428,7,0.0005299763845039163,neutral
GOOG,2019-10-22,0.16945,4,-0.002688361113742821,positive
GOOG,2019-10-23,0.0,1,0.013139759530168549,neutral
GOOG,2019-10-24,0.0,3,0.0014772292318858682,neutral
GOOG,2019-10-28,0.0668636363636363,33,0.019657969939169684,positive
GOOG,2019-10-29,0.064,2,-0.02122463373032346,positive
GOOG,2019-10-30,0.4462,2,-0.0010534813341980254,positive
GOOG,2019-10-31,0.0,4,-0.0009354056109110997,neutral
GOOG,2019-11-04,0.00325,4,0.013840987165785856,neutral
GOOG,2019-11-05,0.03595,4,0.0005112068145045612,neutral
GOOG,2019-11-06,0.0591999999999999,5,-0.0001780045582009393,positive
GOOG,2019-11-07,0.0,1,0.013206317492031827,neutral
GOOG,2019-11-11,0.0062857142857142,7,-0.009287843725137801,neutral
GOOG,2019-11-12,0.2479,6,-0.000300242346066959,positive
GOOG,2019-11-13,0.142975,4,-0.0006159241529682946,positive
GOOG,2019-11-14,0.20682,5,0.010369810656148726,positive
GOOG,2019-11-18,-0.0872166666666666,6,-0.010615342031559227,negative
GOOG,2019-11-19,0.4019,1,-0.003967539854250135,positive
GOOG,2019-11-20,0.0694999999999999,3,-0.009434032778644852,positive
GOOG,2019-11-25,0.0581999999999999,6,0.008762321885428692,positive
GOOG,2019-11-29,0.0,1,-0.006115611095997453,neutral
GOOG,2019-12-02,0.0473692307692307,13,-0.011525114200407582,neutral
GOOG,2019-12-03,0.27115,8,0.004155230888772454,positive
GOOG,2019-12-04,0.5267,1,0.019501362344817696,positive
GOOG,2019-12-05,0.0,2,0.005747679387826388,neutral
GOOG,2019-12-09,0.0004,4,0.002193172698540913,neutral
GOOG,2019-12-10,-0.0351,4,0.0008184959502288702,neutral
GOOG,2019-12-12,-0.5719,1,0.003903339100828296,negative
GOOG,2019-12-16,0.07955,4,0.009897410300551579,positive
GOOG,2019-12-17,0.1177,5,-0.004444841236966313,positive
GOOG,2019-12-18,0.1806,2,-0.001844895665838675,positive
GOOG,2019-12-19,0.0,2,0.0025285429359356293,neutral
GOOG,2019-12-20,0.1779,1,-0.004756562649336549,positive
GOOG,2019-12-23,0.3256333333333334,3,-0.0005557479385985831,positive
GOOG,2019-12-24,0.0,1,-0.003914381350746843,neutral
GOOG,2019-12-26,0.1295599999999999,5,0.012533576572308691,positive
GOOG,2019-12-30,-0.1702,4,-0.011650396288255926,negative
GOOG,2020-01-02,-0.1527,4,0.022699864950563198,negative
GOOG,2020-01-06,0.131675,4,0.02465728429787828,positive
GOOG,2020-01-07,0.0,1,-0.0006240225886700035,neutral
GOOG,2020-01-08,0.08895,2,0.007880406587962518,positive
GOOG,2020-01-09,0.0,2,0.011044439331835187,neutral
GOOG,2020-01-13,-0.0682833333333333,6,0.006644391182432763,negative
GOOG,2020-01-14,0.2553,2,-0.005801647283542821,positive
GOOG,2020-01-15,0.18162,5,0.005814458497012787,positive
GOOG,2020-01-16,0.1251333333333333,6,0.008685680028668319,positive
GOOG,2020-01-21,0.0430833333333333,6,0.0027088163555970546,neutral
GOOG,2020-01-23,0.128,1,0.0004708371492785357,positive
